username,message,time_counter
alex,hey is this live,1
mira,what's the topic tonight,1
sam,can the ai read our names,2
zen,is voice on yet,2
robin,try a poll after this,3
nora,latency looks decent tbh,3
dev,choose a character first,4
jay,space captain vibe please,4
lunaFan,cozy cafe streamer would be cute,4
pixel,say hi to me so I know it works,5
modBot,keep it friendly folks,5
guest123,hi i am new here,5
alex,which model are you using,6
mira,streaming tokens look smooth,6
sam,can it remember me next time,7
zen,volume a tiny bit low,7
robin,what's the story arc idea,7
nora,can you answer jay next,8
dev,can we ship this to web later,8
jay,so space route confirmed,8
lunaFan,cafe arc is better lol,9
pixel,is 3s batch window okay,9
chef,play some lo-fi bgm,9
vish,what's the queue logic,10
orij,3 to 5 second microbatch right,10
tan,make it python first pls,10
leo,try a quiet segment soon,11
ria,welcome new folks btw,11
guest123,thanks happy to be here,11
alex,test q how do i join,12
mira,can you say welcome back mira,12
sam,can you change theme color,13
zen,map overlay looks nice,13
robin,show chat on screen too,14
nora,clip this moment haha,14
dev,deploy to vercel after demo,14
jay,captain set a course,15
lunaFan,pour the tea captain,15
pixel,do a round up reply,15
chef,hydration check everyone,16
vish,measuring latency about 1.2s,16
orij,memory window like 15 minutes,16
tan,add tts after streaming text,17
leo,try the alloy voice,17
ria,can i get a shoutout,17
guest123,is there a schedule,18
alex,raid target later,18
mira,final test message from me,19
sam,looks good on my side,19
zen,good job team,20
robin,see you tomorrow,20
dev,ship checklist next,20
