username,message,time_counter
marco,What's your favorite Italian pasta dish?,1
sophia,I love carbonara! What's the secret to creamy sauce?,2
luca,Can you recommend a good wine pairing for lasagna?,3
giulia,Is homemade pasta really worth the effort?,5
alessandro,What's the difference between marinara and pomodoro sauce?,5
francesca,Best Italian restaurant in your city?,5
vincenzo,How do you make authentic Italian risotto?,6
elena,What's traditional for Sunday dinner in Italy?,6
marco,Is pizza margherita really from Naples?,6
sophia,What ingredients make a perfect caprese salad?,7
luca,Can you explain the difference between gelato and ice cream?,7
alessandro,What's the traditional way to make tiramisu?,7
francesca,Best Italian wines to try for beginners?,8
vincenzo,What's the difference between gnocchi and pasta?,13
elena,What makes Italian coffee different?,13
